ID_TITLENAME	Nume de utilizator
OPTION_PVPMODE_FREE	Liber
OPTION_PVPMODE_FREE_TOOLTIP	Poþi ataca toþi jucãtorii.
OPTION_PVPMODE_GUILD	Alianta
OPTION_PVPMODE_GUILD_TOOLTIP	Poþi ataca toti jucãtorii cu excepþia membrilor breslei.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Nu poþi ataca jucãtori ai regatului tãu.
OPTION_PVPMODE_REVENGE	Inamic
OPTION_PVPMODE_REVENGE_TOOLTIP	Poþi ataca doar jucãtori de alt etos.
OPTION_SALESTEXT	Numele magazinului
OPTION_SALESTEXT_VIEW_OFF	închide
OPTION_SALESTEXT_VIEW_ON	deschide
OPTION_SOUND	Efecte
OPTION_TARGET_BOARD	Meniu þintã
OPTION_TARGET_BOARD_NO_VIEW	Închide
OPTION_TARGET_BOARD_VIEW	Afiºeazã
OPTION_TILING	Memorie graficã
OPTION_TILING_APPLY	Aplicã
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opþiuni
OPTION_VIEW_CHAT	Linie de chat
OPTION_VIEW_CHAT_OFF	închide
OPTION_VIEW_CHAT_ON	deschide
PARTY_MEMBER_INFO_NAME	Nume membru grupã
PASSWORD_DESC_1	Introdu parola
PASSWORD_DESC_2	pentru a deschide depozitul.
PASSWORD_DESC_3	Ai schimbat parola deja?
PASSWORD_DESC_4	Daca nu, parola ta va fi '000000'.
PASSWORD_DESC_5	Schimba parola la depozit.
PASSWORD_TITLE	Salvare parolã
PICK_MONEY_TITLE	Împarte
PRIVATE_SHOP_CLOSE_BUTTON	Închide magazin
PRIVATE_SHOP_NAME	Numele magazinului
PRIVATE_SHOP_TITLE	Deschide propriul magazin
REFINE_COST	Costuri de îmbunãtãþire: 0 Yang
REFINE_INFO	Sansa de upgrade reusit: 100%
REFINE_MONEY	Cost Rafinare
REFINE_SELECT	Rafinare
REFINE_TTILE	Îmbunãtãþiri
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Restarteazã aici
RESTART_TOWN	Restarteazã în oraº
SAFE_CHANGE_PASSWORD	Schimbã parola
SAFE_TITLE	Depozit
SELECT_ATT_GRADE	STR
SELECT_CREATE	Creazã
SELECT_DELETE	ªterge
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Numele regatului
SELECT_EXIT	Ieºire
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Selecteazã Piatra Spiritului
SELECT_NAME	Nume
SELECT_NO_GUILD	Nicio breaslã
SELECT_PLAYTIME	Timp joc (min.)
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Alege titlu
SHOP_BUY	Cumpãrã
SHOP_SELL	Vinde
SHOP_TITLE	Magazin
SKILL_SUPPORT_TITLE	Competenþe standard
STEP	Grad de claritate
STEP_SELECT	Grad de claritate
STRENGTH	Intarire
STRENGTH_SELECT	Nivel
SYSTEMOPTION_TITLE	Opþiuni sistem
SYSTEM_CHANGE	Schimbã caracterul
SYSTEM_EXIT	Ieºire joc
SYSTEM_HELP	Ajutor
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Magazin Obiecte
SYSTEM_OPTION	Opþiuni sistem
TASKBAR_CHARACTER	Caracter[C/V/B/N]
TASKBAR_CHAT	Fereastrã chat [ENTER]
TASKBAR_DISABLE	Dezactivat
TASKBAR_EXPAND	Extinde Fereastra
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Prieteni [ALT + M]
TASKBAR_NEXT_QUICKSLOT	Urmãtorul câmp de acces rapid [Shift+Numãr, Alt]
TASKBAR_PREV_QUICKSLOT	Ultimul câmp de acces rapid [Shift+Numãr]
TASKBAR_SYSTEM	Opþiuni[ESC]
WHISPER_BAN	Blocheazã
WHISPER_NAME	ªopteºte
WHISPER_REPORT	
WHISPER_SEND	Trimite
YES	Da
ZONE_MAP	Hartã mare
