TARGET_INFO_DAMAGE	Atac: %s - %s
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_USE	Nu poti folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet ºoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poþi ºopti cuiva ceva dacã ºoptitul e complet blocat. 	SNA
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poþi reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nici o informaþie gãsitã via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteazã regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_TEST_SERVER	Testeazã serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Toþi
CHAT_BLOCK	Blocheazã
CHAT_GUILD	Breaslã
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propoziþia conþine cuvinte nepermise.
CHAT_LOG	Aratã mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Anunþ
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_CLEAR	ªterge mesajele
CHAT_SEND_MEMO	Trimite ºoaptã [Shift+Enter]
CHAT_SHOUT	Strigã
CHAT_SHOUT_LIMIT	Poþi striga doar o datã la 15 secunde.
CHAT_WHISPER	ªoaptã
CREATE_ERROR_GM_NAME	Nu poþi folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_EXIST_SAME_NAME	Existã deja un caracter cu acest nume.
CREATE_FAILURE	Nu poþi crea acest caracter.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status accesibile.
DAY	Zile
DO_YOU_BUY_ITEM1	Vrei sa cumperi %s petru %s?
DO_YOU_BUY_ITEM2	Vrei sã cumperi %s %s pentru %s?
DO_YOU_DROP_MONEY	Vrei sã renunþi la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sã vinzi %s pentru %s?
DO_YOU_SELL_ITEM2	Vrei sã vinzi %s %s pentru %s?
DO_YOU_SELL_ITEM_FREE	Vrei sã renunþi la %s?
DO_YOU_SELL_ITEM_FREE2	Vrei sã renunþi la %s %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poþi arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi renunþa la un obiect atribuit caracterului dacã magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poþi renunþa la maxim 999 Yang.
EMOTION_ANGRY	Neplãcut
EMOTION_ATTRACTIVE	Tentaþie
EMOTION_BANTER	Rãutãcios
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o þintã.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sãrut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_JOY	Bucurie
EMOTION_SAD	Trist
EMOTION_SHY	Refuz
EMOTION_SLAP	Loviturã
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EXCHANGE_CANNOT_GIVE	Nu poþi vinde acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba Iteme atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Negociazã cu %s
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca %s a muºcat.
FISHING_NOTIFY2	Se pare cã s-a prins %s.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu ºtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sã pescuiesc aici.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bãrbaþi
GAME_CANNOT_MINING	Nu poþi sã sapi dupã minereu în timp ce cãlãreºti.
GAME_CANNOT_PICK_ITEM	Nu poþi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazã DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficã pentru rularea jocului.\nVerificã daca placa VGA e instalatã corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficã nu a putut fi iniþializatã.nVerificã dacã deþii o placã VGA.\nAlternativ poþi sã activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficã nu suportã 32bit.\nSchimbã pe 16bit sau foloseºte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalã nu a putut fi realizatã.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reþea nu s-a realizat.\nVerificã legãtura la internet.
GAME_PICK_MONEY	Ai primit %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înãlþimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înãlþimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înãlþimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înãlþimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportã aceastã imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazã fiºierele în directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatã.
GUILDWAR_CTF_TITLE	Cucereºte steagul
GUILDWAR_NORMAL_TITLE	Bãtãlie pe câmp
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale rãzboi,
GUILDWAR_QUESTION_LINE_2	Accepþi? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptã în Arenã
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_NAME	Numele clãdirii
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_COMMENT	Scrie
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	ªterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DO_YOU_HEAL_GSP	Vrei sã refaci %d unitãþi din Spiritul Dragonului pentru %d Yang?
GUILD_DO_YOU_JOIN	  te-a invitat. Vrei sã te alãturi alianþei?
GUILD_EMPTY_AREA	Þarã goalã
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clãdire secundarã
GUILD_GEM	Piatrã preþioasã
GUILD_HEADQUARTER	Clãdire principalã
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 4
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deþii destul material pentru aceastã clãdire.
GUILD_NOT_ENOUGH_MONEY	Nu deþii destul Yang pentru aceastã clãdire.
GUILD_NO_NOTICE_PERMISSION	Nu îþi este permis sã faci un anunþ.
GUILD_OBJECT	Obiecte
GUILD_OFFER_EXP	Investeºte Experienþã
GUILD_SHORT_EXP	Nu ai destule puncte de experienþã.
GUILD_TILE_BASEINFO	Informaþii de bazã
GUILD_TILE_BOARD	Tablã
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_INFO	Informaþii breaslã
GUILD_TILE_MEMBER	Membrii breslei
GUILD_TILE_SKILL	Calificarea breslei
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensã: Câºtigãtorul primeºte licori
GUILD_WAR_USE_BATTLE_MAP	Locaþie: Câmpul de Luptã al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaþie: Harta Normalã
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câºtigã rãzboiul.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazã steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ºi adu-l în baza ta.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toþi inamicii pentru a câºtiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparþii nici unei bresle.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptã
HORSE_LEVEL3	Cal militar
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sã arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sã arunci %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ºtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ªterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adãugat.
INVENTORY_REALLY_USE_ITEM	Vrei sã foloseºti acest obiect?
JOB_ASSASSIN	Ninja
JOB_SHAMAN	Saman
JOB_SURA	Sura
JOB_WARRIOR	Razboinic
LEFT_TIME	Timp rãmas
LOGIN_CONNECT_FAILURE	Eroare la conectarea la server.
LOGIN_CONNECT_SUCCESS	Ai fost conectat la server.
LOGIN_CONNETING	Vei fi conectat la server...
LOGIN_FAILURE_ALREAY	Contul tãu este deja conectat.
LOGIN_FAILURE_BE_SAME_KEY	Problemã la login
LOGIN_FAILURE_BLOCK_ID	Contul este blocat.
LOGIN_FAILURE_BLOCK_LOGIN	Alege alt server!
LOGIN_FAILURE_NOBILL	Contul nu deþine timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul este inaccesibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume contului sau parola sunt greºite.
LOGIN_FAILURE_REPAIR_ID	Pentru acest cont sunt refãcute obiectele.
LOGIN_FAILURE_SHUTDOWN	Nu am reuºit sã mã conectez.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca existã prea mulþi jucãtori.
LOGIN_FAILURE_UNKNOWN	Login a eºuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verificã-þi mailurile.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parola greºitã.
LOGIN_FAILURE_MAINTENANCE	Born2Fight este momentan în mentenanþã.
LOGIN_FAILURE_GUID_BANNED	Acest calculator a fost blocat în a se putea conecta.
LOGIN_FAILURE_VERSION	Versiune incorectã. Ruleazã autopatcherul.
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	Conectarea ruleazã ...
MALL_CANNOT_INSERT	Nu poþi poziþiona obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_A1	Þinutul Yongan
MAP_A2	Valea Seungryong
MAP_A3	Þinutul Yayang
MAP_AG	Jungrang
MAP_B1	Þinutul Joan
MAP_B2	Valea Imji
MAP_B3	Þinutul Bokjung
MAP_BAY	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_C1	Þinutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Þinutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_DAWN	Stancile Gautama
MAP_DESERT	Deºertul Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Taramul Gigantilor
MAP_SKELTOWER	Turnul Gumsan
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TREE	Lungsam
MAP_TRENT02	Padurea Rosie
MAP_WL	Valea Serpilor
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepþi?
MESSENGER_DO_YOU_DELETE	ªterge?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sã ºtergi numãrul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslã
MINIMAP	Deschide mini harta
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afiºatã.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afiºatã.
MINIMAP_DEC_SCALE	Minimeazã
MINIMAP_INC_SCALE	Maximeazã
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_SHOW_AREAMAP	Deschide hartã mare
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutã de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preþ de vânzare:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi muta obiectul dacã ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicã de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiºier de muzicã.
NEEFD_REST	Trebuie sã te odihneºti întâi.
NOT_YET_SUPPORT	Nu este suportat.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poþi activa modul breaslã dacã nu aparþii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poþi folosi configuraþia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sã fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Vitezã de atac: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Apãrare: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. PM: +%d	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	%s te-a invitat in grup.
PARTY_DO_YOU_JOIN	, accepti invitaþia de a intra în grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primeºte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toþi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mãritã de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei mãritã de 2 ori.	SNA
PARTY_LEAVE	Pãrãseºte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus petru joc de grupã lung: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigã membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV- + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_SET_ATTACKER	Stabileºte ca atacator.
PARTY_SET_BERSERKER	Stabileºte ca berserker.
PARTY_SET_BUFFER	Stabileºte ca blocant.
PARTY_SET_DEFENDER	Stabileºte ca apãrãtor.
PARTY_SET_NORMAL	Anuleazã setarea.
PARTY_SET_SKILL_MASTER	Stabileºte ca maestru al competenþei.
PARTY_SET_TANKER	Stabileºte ca luptãtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazã atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Apãrare apãrãtor +%.0f
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	PM maestrul competenþei max. +%.0f
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptator aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSWORD_TITLE	Parola depozit
PICK_ITEM_TITLE	Numãrul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poþi vinde acest obiect în magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei sã închizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preþ
PVP_LEVEL0	Cavaler
PVP_LEVEL1	Nobil
PVP_LEVEL2	Bun
PVP_LEVEL3	Prietenos
PVP_LEVEL4	Neutru
PVP_LEVEL5	Agresiv
PVP_LEVEL6	Dezonorat
PVP_LEVEL7	Rautacios
PVP_LEVEL8	Crud
PVP_MODE_GUILD	Mod PvP-breaslã activat
PVP_MODE_KILL	PvP - liber activat.
PVP_MODE_NORMAL	PvP - pace activat.
PVP_MODE_PROTECT	PvP - protecþie activat.
PVP_MODE_REVENGE	PvP - agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protecþie
PVP_OPTION_REVENGE	Agresiv
QUEST_APPEND	Misiune noua înregistrata.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nici o limitã de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adãugat la câmpul de acces rapid.
RECEIVE_MESSAGE	%s þi-a trimis un mesaj.
REFINE_COST	Costuri de îmbunãtãþire: %d Yang
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Creºte probabilitatea de îmbunãtãþire,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	dar dacã nu îþi reuºeºte, obiectul va fi distrus. Continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DO_YOU_SEPARATE_METIN	Doreºti sã înlãturi toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Nu a funcþionat. Am eºuat.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nu poate fi adãugat obiectului.
REFINE_FAILURE_EQUIP_ITEM	Nu poþi îmbunãtãþi Obiectele echipate.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi indepartata nici o piatra stafie.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de îmbunãtãþire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu existã suport de aur petru a adãuga %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poþi sã mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu existã suport pentru a adãuga %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu îi poate fi adãugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi îmbunãtãþit.
REFINE_SUCCESS	Îmbunãtãþirea obiectului a reuºit.
REFINE_SUCCESS_PROBALITY	ªansã de îmbunãtãþire: %d%%
REFINE_WARNING2	Vrei sã continui?
SAFEBOX_ERROR	Ai introdus o parolã greºitã.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nu poþi vinde nici unul din obiectele salvate.
SAFEBOX_WRONG_PASSWORD	Parolele trebuie sã fie identice.
SCREENSHOT_SAVE1	e salvat în
SCREENSHOT_SAVE2	Directorul screenshot
SCREENSHOT_SAVE_FAILURE	Salvarea screenshotului eºuatã.
SECOND	Sec
SELECT_CAN_NOT_DELETE	Nu poþi ºterge caracterul.
SELECT_CHANGED_NAME	Ai schimbat numele caracterului.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Numele caracterului existã deja.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Mai încearcã odatã.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Numele caracterului este greºit.
SELECT_CHANGE_NAME_TITLE	Schimbã numele caracterului
SELECT_DELEING	Caracterul se va ºterge
SELECT_DELETED	ªtergerea s-a realizat.
SELECT_DO_YOU_DELETE_REALLY	Vrei sã continui?
SELECT_EMPTY_SLOT	Acesta este un câmp gol.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Introdu un nou nume.
SELECT_NOT_JOIN_GUILD	Nici o breaslã
SHOP_BUY_INFO	Alege Obiectul pe care vrei sã-l cumperi în fereastra magazinului.
SHOP_CANNOT_SELL_EQUIPMENT	Nu poþi vinde Obiectele echipate.
SHOP_CANNOT_SELL_ITEM	Acest obiect nu este de vânzare.
SHOP_ERROR_UNKNOWN	Eroare Necunoscuta Magazin: %s
SHOP_INVALID_POS	Acest obiect este nepotrivit.
SHOP_INVENTORY_FULL	Nu mai existã loc în inventar.
SHOP_NOT_ENOUGH_MONEY	Yang insuficienþi
SHOP_NOT_ENOUGH_MONEY_EX	Nu ai suficient Yang.
SHOP_SELL_INFO	Alege Obiectul pe care vrei sã-l vinzi din fereastra inventarului tãu.
SHOP_SOLDOUT	Vândut
SHOT_ERROR_UNKNOWN	Eroare necunoscutã în timpul atacului la distanþã: %s
SKILL_BOHO	Reflectare
SKILL_BUDONG	Nu se mai foloseºte
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ai nevoie de EXP pentru a învãþa calificarea aceasta.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ai nevoie de o carte pentru a învãþa aceastã calificare.
SKILL_CHEONGEUN	Corp puternic
SKILL_CRITICAL	Loviturã criticã
SKILL_ENCHANT_POISON	Foloseºte otravã
SKILL_EUNHYEONG	Invizibil
SKILL_FAINT	Necunoºtiinþã
SKILL_FIND_TRAP	Cautã capcanã
SKILL_FIRE	Arde
SKILL_FISHMIND	Marmura de pescuit este activã
SKILL_GAMJI	Înregistrare
SKILL_GEOMGYEONG	Aura sabiei
SKILL_GEONGON	SKILL_GEONGON Nu mai este folosit
SKILL_GICHEON	Ajutorul zmeului
SKILL_GIGONG	Rotaþia Chi
SKILL_GONGPO	Fricã
SKILL_GRADE_NAME_GRAND_MASTER	%s Mare maestru
SKILL_GRADE_NAME_MASTER	%s Maestru
SKILL_GRADE_NAME_PERFECT_MASTER	%s maestru perfect
SKILL_GROUP_ASSASSIN_1	Lamã
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Cãlãrie
SKILL_GROUP_SHAMAN_1	Zmeu
SKILL_GROUP_SHAMAN_2	Vindecare
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Corp
SKILL_GROUP_WARRIOR_2	Mental
