# Refine Proto Data - TXT Format
# Bu dosya DB yerine kullanılacak refine verilerini içerir
# Format: ID|cost|prob|vnum0|count0|vnum1|count1|vnum2|count2|vnum3|count3|vnum4|count4|vnum5|count5|vnum6|count6|vnum7|count7|vnum8|count8|vnum9|count9|src_vnum|result_vnum
# Toplam 25 alan: ID(1) + cost(1) + prob(1) + materials(20) + src(1) + result(1) = 25

# Silah Refineleri - +0 to +9
# +0 → +1 (Kolay)
106|1280000|65|27011|6|27012|5|27013|4|27014|3|27015|2|27016|1|0|0|0|0|0|0|0|0|16280|17280

# +6 → +7 Zırh (7 materyal)
107|2560000|50|27011|8|27012|6|27013|5|27014|4|27015|3|27016|2|27017|1|0|0|0|0|0|0|17280|18280

# +7 → +8 Zırh (8 materyal)
108|5120000|35|27011|10|27012|8|27013|6|27014|5|27015|4|27016|3|27017|2|27018|1|0|0|0|0|18280|19280

# +8 → +9 Zırh (10 materyal)
109|10240000|15|27011|12|27012|10|27013|8|27014|6|27015|5|27016|4|27017|3|27018|2|27019|1|27020|1|19280|20280

# Aksesuvar Refineleri - Farklı materyaller ve fiyatlar
# +0 → +1 Aksesuvar
201|30000|100|27021|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11300|12300

# +1 → +2 Aksesuvar
202|60000|95|27021|2|27022|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12300|13300

# +2 → +3 Aksesuvar
203|120000|90|27021|3|27022|2|27023|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13300|14300

# +3 → +4 Aksesuvar
204|240000|85|27021|4|27022|3|27023|2|27024|1|0|0|0|0|0|0|0|0|0|0|0|0|14300|15300

# +4 → +5 Aksesuvar
205|480000|80|27021|5|27022|4|27023|3|27024|2|27025|1|0|0|0|0|0|0|0|0|0|0|15300|16300

# +5 → +6 Aksesuvar
206|960000|70|27021|6|27022|5|27023|4|27024|3|27025|2|27026|1|0|0|0|0|0|0|0|0|16300|17300

# +6 → +7 Aksesuvar (7 materyal)
207|1920000|55|27021|8|27022|6|27023|5|27024|4|27025|3|27026|2|27027|1|0|0|0|0|0|0|17300|18300

# +7 → +8 Aksesuvar (8 materyal)
208|3840000|40|27021|10|27022|8|27023|6|27024|5|27025|4|27026|3|27027|2|27028|1|0|0|0|0|18300|19300

# +8 → +9 Aksesuvar (10 materyal - maksimum zorluk!)
209|7680000|20|27021|15|27022|12|27023|10|27024|8|27025|6|27026|5|27027|4|27028|3|27029|2|27030|1|19300|20300

# Özel Refineler - Unique itemler için
# Efsunlu Silah Refinesi (10 farklı materyal)
301|10000000|25|27031|5|27032|4|27033|3|27034|3|27035|2|27036|2|27037|1|27038|1|27039|1|27040|1|30001|30002

# Ejder Silahı Refinesi (10 materyal - çok nadir)
302|50000000|10|27041|3|27042|3|27043|2|27044|2|27045|2|27046|1|27047|1|27048|1|27049|1|27050|1|40001|40002

# PvP Özel Zırh Refinesi
401|25000000|30|27051|4|27052|4|27053|3|27054|3|27055|2|27056|2|27057|1|27058|1|27059|1|27060|1|41001|41002

# Boss Drop Aksesuvar Refinesi
501|100000000|5|27061|2|27062|2|27063|2|27064|2|27065|1|27066|1|27067|1|27068|1|27069|1|27070|1|50001|50002

# Event Özel Refinesi (sadece event sırasında)
601|5000000|50|90001|1|90002|1|90003|1|90004|1|90005|1|0|0|0|0|0|0|0|0|0|0|60001|60002

# Test Refinesi (GM test için - %100 başarı)
999|1000|100|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|999|1000
